# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(B1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  9  7.57129E+00    2.23320E-01  -1.14320E-02  -4.65250E-02   2.82170E-01  -2.78540E-01   9.23980E-02
   1 <-  9  7.73518E+00    1.14370E+00  -2.23630E-01  -1.20460E+00   6.47340E+00  -5.60930E+00   1.46330E+00
   2 <-  9  7.89443E+00    2.30100E+00  -3.01180E-01  -7.69060E+00   3.21150E+01  -2.84780E+01   7.64630E+00
   3 <-  9  8.04933E+00    1.26820E+00   5.94810E-02  -3.06300E+00   1.10540E+01  -1.00490E+01   2.78980E+00
   4 <-  9  8.20002E+00    1.22340E+00   9.29500E-02  -2.58820E+00   9.54410E+00  -8.25600E+00   2.21070E+00
   5 <-  9  8.34660E+00    3.40090E-01   1.97570E-02  -3.06640E-01   1.07990E+00  -1.19510E+00   4.77020E-01
   6 <-  9  8.48912E+00    1.07550E+00   2.08550E-01  -2.65560E+00   9.03760E+00  -8.85880E+00   3.10810E+00
   7 <-  9  8.62765E+00    7.33630E-01   1.31550E-01  -1.34280E+00   4.36420E+00  -4.26660E+00   1.50730E+00
   8 <-  9  8.76225E+00   -4.97980E-06   1.96570E-04  -2.94820E-03   1.32860E-02  -2.31910E-02   1.39480E-02
   9 <-  9  8.89299E+00    5.52380E-01   1.28350E-01  -1.03520E+00   3.12330E+00  -3.18550E+00   1.23220E+00
  10 <-  9  9.01992E+00    7.19100E-01   2.63220E-01  -1.94960E+00   5.69740E+00  -5.90030E+00   2.30730E+00
  11 <-  9  9.14310E+00    5.76820E-01   1.60910E-01  -1.18250E+00   3.37010E+00  -3.40510E+00   1.28230E+00
  12 <-  9  9.26261E+00    2.72330E-01   3.08130E-02  -2.32650E-01   6.45440E-01  -6.42440E-01   2.32740E-01
  13 <-  9  9.37851E+00    3.40060E-02   8.48050E-03  -4.69670E-02   1.33750E-01  -1.64990E-01   8.08710E-02
  14 <-  9  9.49085E+00    2.91890E-01   7.71310E-02  -4.81700E-01   1.31450E+00  -1.37830E+00   5.56360E-01
  15 <-  9  9.59971E+00    4.32890E-01   1.46490E-01  -9.29190E-01   2.48350E+00  -2.53080E+00   9.78170E-01
  16 <-  9  9.70515E+00    4.68060E-01   1.65580E-01  -1.05200E+00   2.76610E+00  -2.79250E+00   1.06250E+00
  17 <-  9  9.80723E+00    4.17020E-01   1.48170E-01  -9.25030E-01   2.41460E+00  -2.50970E+00   9.87550E-01
  18 <-  9  9.90601E+00    3.17360E-01   9.30730E-02  -5.75990E-01   1.48770E+00  -1.57150E+00   6.30610E-01
  19 <-  9  1.00016E+01    1.98320E-01   3.40160E-02  -2.14100E-01   5.38280E-01  -5.58630E-01   2.21320E-01
  20 <-  9  1.00939E+01    7.25060E-02   6.10840E-03  -3.82880E-02   9.30950E-02  -1.01870E-01   4.36080E-02
  21 <-  9  1.01831E+01    4.22750E-02  -4.24100E-04   2.24370E-03  -5.05240E-03   1.57040E-02  -1.14830E-02
  22 <-  9  1.02692E+01    1.33070E-01   1.01990E-02  -6.29040E-02   1.65040E-01  -1.44910E-01   4.27610E-02
  23 <-  9  1.03522E+01    1.97520E-01   3.39130E-02  -2.03000E-01   5.29320E-01  -5.37550E-01   2.02880E-01
  24 <-  9  1.04321E+01    2.44900E-01   4.75040E-02  -2.89990E-01   7.43060E-01  -7.37620E-01   2.72910E-01
  25 <-  9  1.05090E+01    2.68330E-01   6.00830E-02  -3.66910E-01   9.35930E-01  -9.43770E-01   3.58870E-01
  26 <-  9  1.05827E+01    2.74060E-01   6.55230E-02  -4.00550E-01   1.01960E+00  -1.04210E+00   4.05450E-01
  27 <-  9  1.06532E+01    2.65660E-01   6.48660E-02  -3.96680E-01   1.00980E+00  -1.04770E+00   4.17230E-01
  28 <-  9  1.07204E+01    2.46960E-01   5.94810E-02  -3.63790E-01   9.27450E-01  -9.77800E-01   3.98350E-01
  29 <-  9  1.07840E+01    2.21380E-01   5.11880E-02  -3.13020E-01   8.00220E-01  -8.57980E-01   3.57350E-01
  30 <-  9  1.08438E+01    1.91790E-01   4.17280E-02  -2.54970E-01   6.54330E-01  -7.14300E-01   3.04020E-01
  31 <-  9  1.08993E+01    1.60740E-01   3.21710E-02  -1.96400E-01   5.06240E-01  -5.62500E-01   2.44200E-01
  32 <-  9  1.09497E+01    1.30110E-01   2.34200E-02  -1.42840E-01   3.69890E-01  -4.18120E-01   1.84820E-01
  33 <-  9  1.09938E+01    1.01270E-01   1.59280E-02  -9.70410E-02   2.52470E-01  -2.89990E-01   1.30210E-01
  34 <-  9  1.10298E+01    7.48480E-02   9.77250E-03  -5.94980E-02   1.55440E-01  -1.81000E-01   8.23130E-02
  35 <-  9  1.10545E+01    4.95670E-02   4.72150E-03  -2.87360E-02   7.53090E-02  -8.85620E-02   4.06320E-02
  36 <-  9  1.10653E+01    2.47120E-02   1.23170E-03  -7.49500E-03   1.96710E-02  -2.32360E-02   1.07020E-02
  37 <-  9  1.10683E+01    1.40910E-02   4.06140E-04  -2.47130E-03   6.48880E-03  -7.67450E-03   3.53860E-03
  38 <-  9  1.10693E+01    8.50440E-03   1.48690E-04  -9.04780E-04   2.37600E-03  -2.81140E-03   1.29680E-03
  39 <-  9  1.10697E+01    5.48340E-03   6.19400E-05  -3.76910E-04   9.89810E-04  -1.17140E-03   5.40400E-04
  DE <-  9  1.10699E+01    8.91250E-01   6.73460E-01  -5.72930E+00   1.46720E+01  -1.56270E+01   6.03710E+00
