# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(H1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  6  1.13444E+01    9.67260E-03  -1.34850E-04   2.16550E-03  -6.50330E-03   9.05630E-03  -4.59570E-03
   1 <-  6  1.16194E+01    8.85790E-02  -1.35340E-02   1.27560E-01  -3.51570E-01   4.75830E-01  -2.39380E-01
   2 <-  6  1.18686E+01    2.51460E-01  -1.44840E-01   1.15800E+00  -3.25530E+00   4.34730E+00  -2.11400E+00
   3 <-  6  1.20855E+01    7.94720E-02  -8.76580E-03   1.17730E-01  -2.87660E-01   3.55490E-01  -1.68410E-01
   4 <-  6  1.22854E+01    1.92390E-01  -8.75800E-02   6.07040E-01  -1.69010E+00   2.23540E+00  -1.07090E+00
   5 <-  6  1.24741E+01    1.57320E-04   9.94100E-03  -4.92390E-02   1.32200E-01  -1.50630E-01   5.77600E-02
   6 <-  6  1.25709E+01   -1.82300E-16   1.74040E-26  -1.46420E-25   4.40160E-25  -5.56240E-25   2.51240E-25
   7 <-  6  1.26151E+01    1.21670E-11  -3.42610E-22   1.00530E-21  -1.85950E-21   2.14500E-21  -9.53190E-22
   8 <-  6  1.26472E+01    3.17660E-02   3.93870E-04   1.16490E-02  -3.13410E-02   4.32710E-02  -2.20840E-02
   9 <-  6  1.26594E+01    1.16300E-11  -1.77200E-24   2.78560E-21  -7.96010E-21   1.05610E-20  -5.12720E-21
  10 <-  6  1.27019E+01    6.25000E-11  -8.13720E-21   7.15120E-20  -1.99280E-19   2.64040E-19  -1.27770E-19
  11 <-  6  1.27422E+01    6.00260E-10  -6.82270E-19   5.41320E-18  -1.51340E-17   2.01300E-17  -9.67870E-18
  12 <-  6  1.27810E+01    1.07810E-08  -2.72950E-16   1.86110E-15  -5.18040E-15   6.82140E-15  -3.23740E-15
  13 <-  6  1.28042E+01    1.13090E-01  -3.09950E-02   2.05680E-01  -5.69470E-01   7.45760E-01  -3.52100E-01
  14 <-  6  1.28184E+01    1.10320E-07  -2.97220E-14   1.95190E-13  -5.38570E-13   7.03140E-13  -3.31070E-13
  15 <-  6  1.28544E+01    2.00560E-07  -9.76650E-14   6.32470E-13  -1.72830E-12   2.23970E-12  -1.04820E-12
  16 <-  6  1.28893E+01    9.00510E-07  -1.99990E-12   1.26980E-11  -3.44160E-11   4.42980E-11  -2.06090E-11
  17 <-  6  1.29232E+01    8.22210E-06  -1.72550E-10   1.06980E-09  -2.88130E-09   3.68600E-09  -1.70480E-09
  18 <-  6  1.29434E+01    1.20360E-01  -3.72370E-02   2.28920E-01  -6.13800E-01   7.82430E-01  -3.60770E-01
  19 <-  6  1.29561E+01    5.00380E-05  -6.45450E-09   3.94980E-08  -1.05600E-07   1.34320E-07  -6.18180E-08
  20 <-  6  1.29881E+01    6.20260E-05  -9.92800E-09   6.02150E-08  -1.59750E-07   2.02060E-07  -9.25850E-08
  21 <-  6  1.30192E+01    1.70880E-04  -5.88320E-08   3.83650E-07  -9.81570E-07   1.22530E-06  -5.60840E-07
  22 <-  6  1.30494E+01    1.46810E-03  -4.57590E-06   2.90340E-05  -7.39370E-05   9.18210E-05  -4.18030E-05
  23 <-  6  1.30616E+01    8.12590E-02  -1.43030E-02   8.98530E-02  -2.28430E-01   2.83140E-01  -1.28640E-01
  24 <-  6  1.30787E+01    3.10020E-03  -2.13860E-05   1.32640E-04  -3.36450E-04   4.15970E-04  -1.88480E-04
  25 <-  6  1.31067E+01    4.22800E-03  -4.14850E-05   2.52510E-04  -6.38480E-04   7.86400E-04  -3.54860E-04
  26 <-  6  1.31326E+01    1.38380E-02  -4.61030E-04   2.76410E-03  -6.97230E-03   8.56150E-03  -3.84990E-03
  27 <-  6  1.31488E+01    4.38210E-02  -4.72780E-03   2.81080E-02  -7.08090E-02   8.68000E-02  -3.89550E-02
  28 <-  6  1.31635E+01    2.99120E-02  -2.24520E-03   1.32570E-02  -3.33550E-02   4.08230E-02  -1.82870E-02
  29 <-  6  1.31859E+01    2.25780E-02  -1.32200E-03   7.72680E-03  -1.94430E-02   2.37760E-02  -1.06340E-02
  30 <-  6  1.32076E+01    2.39310E-02  -1.57360E-03   9.08830E-03  -2.31370E-02   2.85210E-02  -1.28310E-02
  31 <-  6  1.32283E+01    2.34810E-02  -1.54090E-03   8.85440E-03  -2.24590E-02   2.75890E-02  -1.23680E-02
  32 <-  6  1.32491E+01    2.08530E-02  -1.23410E-03   7.06100E-03  -1.78170E-02   2.17820E-02  -9.71740E-03
  33 <-  6  1.32702E+01    1.85980E-02  -1.03370E-03   5.87940E-03  -1.50380E-02   1.85760E-02  -8.35590E-03
