# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(J1Dg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  6  1.12718E+01    1.51560E-07   1.09000E-03  -1.35360E-02   6.00550E-02  -1.03380E-01   6.10390E-02
   1 <-  6  1.15471E+01    4.87440E-05   2.17390E-02  -1.93940E-01   8.75280E-01  -1.53710E+00   9.44160E-01
   2 <-  6  1.18071E+01    1.04280E-04   9.67400E-02  -6.25870E-01   2.88430E+00  -5.12290E+00   3.18900E+00
   3 <-  6  1.20481E+01    1.12570E-05   2.70680E-02  -1.42720E-01   6.85580E-01  -1.23980E+00   7.87430E-01
   4 <-  6  1.22764E+01   -1.92160E-06   2.83160E-02  -1.42210E-01   6.76700E-01  -1.22050E+00   7.75230E-01
   5 <-  6  1.24910E+01   -5.44450E-07   2.16570E-04  -2.12080E-03   1.11690E-02  -2.06750E-02   1.21190E-02
   6 <-  6  1.26914E+01    6.79490E-07   1.04650E-02  -7.45720E-02   3.46010E-01  -6.12080E-01   3.78990E-01
   7 <-  6  1.28773E+01   -8.47450E-07   1.09870E-02  -3.77790E-02   1.95940E-01  -3.62450E-01   2.36980E-01
   8 <-  6  1.30496E+01   -3.93430E-07   4.83930E-03   2.28690E-03   9.60110E-03  -2.98570E-02   2.80060E-02
   9 <-  6  1.32074E+01    2.61880E-02  -1.43500E-03   1.56730E-02  -4.01160E-02   5.27620E-02  -2.54190E-02
  10 <-  6  1.33514E+01   -7.90170E-06   8.14110E-05  -6.23370E-04   3.16110E-03  -5.14410E-03   2.63480E-03
  11 <-  6  1.34807E+01    1.23360E-06   3.05650E-04  -1.11710E-03   6.21000E-03  -1.23020E-02   8.25140E-03
  12 <-  6  1.35951E+01    2.51870E-06   7.25760E-04   1.10330E-03  -9.20990E-04  -1.92970E-03   3.39900E-03
  13 <-  6  1.36937E+01   -2.06080E-05   9.58310E-04   2.97280E-03  -7.57200E-03   8.98100E-03  -2.60200E-03
  14 <-  6  1.37753E+01    1.11680E-02   5.16480E-04   5.22060E-03  -1.33260E-02   1.68930E-02  -6.71600E-03
  15 <-  6  1.38385E+01    1.09450E-02   3.62040E-04   4.43160E-03  -1.11260E-02   1.42080E-02  -5.76510E-03
  16 <-  6  1.38811E+01    8.07510E-03   2.61910E-04   2.48910E-03  -6.11050E-03   7.78090E-03  -3.08330E-03
  17 <-  6  1.39012E+01    4.01500E-03   8.45450E-05   6.50380E-04  -1.56960E-03   1.99010E-03  -7.67330E-04
  18 <-  6  1.39040E+01    9.23280E-04   4.67040E-06   3.47620E-05  -8.36590E-05   1.05980E-04  -4.06590E-05
  DE <-  6  1.39041E+01    1.08710E-01  -2.81220E-02   2.87750E-01  -8.60060E-01   1.32550E+00  -7.36380E-01
