# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=6) -> e + H2(a3Sg) (dissociative excitation)
# Initial-state energy: -1.06652 Hartrees
#
# Threshold: 1.20144E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.20144E+01   0.00000E+00
  1.25000E+01   1.86203E-03
  1.30000E+01   5.18233E-03
  1.35000E+01   1.54882E-02
  1.40000E+01   2.09672E-02
  1.45000E+01   3.46519E-02
  1.50000E+01   4.82364E-02
  1.55000E+01   4.82099E-02
  1.60000E+01   4.91984E-02
  1.65000E+01   5.08751E-02
  1.70000E+01   5.19741E-02
  1.75000E+01   5.43886E-02
  1.80000E+01   5.35005E-02
  1.85000E+01   5.26853E-02
  1.90000E+01   5.15048E-02
  1.95000E+01   4.99403E-02
  2.00000E+01   4.80981E-02
  2.10000E+01   4.38719E-02
  2.20000E+01   3.96598E-02
  2.30000E+01   3.57009E-02
  2.40000E+01   3.20888E-02
  2.50000E+01   2.88444E-02
  2.60000E+01   2.59553E-02
  2.70000E+01   2.33930E-02
  2.80000E+01   2.11244E-02
  2.90000E+01   1.91158E-02
  3.00000E+01   1.73355E-02
  3.50000E+01   1.09728E-02
  4.00000E+01   7.32917E-03
  4.50000E+01   5.15808E-03
  5.00000E+01   3.76745E-03
  6.00000E+01   2.18654E-03
  7.00000E+01   1.37967E-03
  8.00000E+01   9.25568E-04
  9.00000E+01   6.50729E-04
  1.00000E+02   4.74755E-04
  1.25000E+02   2.43396E-04
  1.50000E+02   1.40967E-04
