# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(H1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  4  1.21201E+01    1.29100E-01  -3.83950E-02   2.65280E-01  -7.33190E-01   9.71480E-01  -4.68890E-01
   1 <-  4  1.23952E+01    2.95280E-01  -2.11850E-01   1.41910E+00  -3.86530E+00   5.02330E+00  -2.37190E+00
   2 <-  4  1.26443E+01    3.49120E-02  -2.01060E-03   1.68760E-02  -4.29800E-02   5.55100E-02  -2.67820E-02
   3 <-  4  1.28612E+01    1.84830E-01  -9.00010E-02   5.60000E-01  -1.50580E+00   1.93260E+00  -8.98390E-01
   4 <-  4  1.30611E+01    1.20560E-01  -2.78100E-02   1.96760E-01  -5.02490E-01   6.24390E-01  -2.83680E-01
   5 <-  4  1.32499E+01    3.77360E-02  -1.84560E-03   1.76650E-02  -4.23000E-02   4.81900E-02  -1.97360E-02
   6 <-  4  1.33466E+01    9.29420E-19   3.09480E-28  -2.46060E-27   7.17120E-27  -8.94210E-27   4.03240E-27
   7 <-  4  1.33908E+01    1.63190E-12  -8.26020E-24   8.74280E-24   7.42550E-23  -1.37910E-22   6.07690E-23
   8 <-  4  1.34230E+01    2.48120E-02  -1.49090E-03   8.34840E-03  -2.15920E-02   2.80200E-02  -1.33550E-02
   9 <-  4  1.34352E+01    6.99550E-12  -4.07250E-23   4.71240E-22  -1.43530E-21   2.10620E-21  -1.08010E-21
  10 <-  4  1.34776E+01    7.73910E-12   2.48110E-21  -7.42970E-21   1.68200E-20  -1.88610E-20   8.53900E-21
  11 <-  4  1.35179E+01    3.62660E-10  -2.88490E-19   1.80360E-18  -4.62790E-18   5.82940E-18  -2.67080E-18
  12 <-  4  1.35568E+01    5.97980E-09  -7.82430E-17   4.93230E-16  -1.25560E-15   1.56860E-15  -7.13210E-16
  13 <-  4  1.35800E+01    6.19000E-02  -8.11400E-03   5.20420E-02  -1.31710E-01   1.63610E-01  -7.39100E-02
  14 <-  4  1.35941E+01    6.04470E-08  -7.59110E-15   4.91740E-14  -1.23990E-13   1.53460E-13  -6.90520E-14
  15 <-  4  1.36302E+01    1.12650E-07  -2.50510E-14   1.66510E-13  -4.15420E-13   5.09050E-13  -2.26530E-13
  16 <-  4  1.36651E+01    5.11130E-07  -4.86790E-13   3.32750E-12  -8.19790E-12   9.93000E-12  -4.36210E-12
  17 <-  4  1.36989E+01    4.57670E-06  -3.49250E-11   2.50740E-10  -6.01330E-10   7.11450E-10  -3.04610E-10
  18 <-  4  1.37191E+01    6.86190E-02  -7.77350E-03   5.62470E-02  -1.34740E-01   1.59060E-01  -6.78510E-02
  19 <-  4  1.37318E+01    2.92020E-05  -1.42350E-09   1.02760E-08  -2.47090E-08   2.92350E-08  -1.24910E-08
  20 <-  4  1.37639E+01    4.06630E-05  -3.18420E-09   2.18250E-08  -5.44660E-08   6.62860E-08  -2.91060E-08
  21 <-  4  1.37950E+01    1.55210E-04  -5.52950E-08   3.56560E-07  -9.26520E-07   1.16130E-06  -5.24370E-07
  22 <-  4  1.38252E+01    1.41900E-03  -4.76150E-06   3.04220E-05  -7.95420E-05   1.00050E-04  -4.52900E-05
