# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(D1Pu) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  4  1.21093E+01    2.89170E-01   1.23880E-01  -7.16830E-01   1.54100E+00  -1.40460E+00   4.80670E-01
   1 <-  4  1.23854E+01    5.31050E-01   9.15470E-01  -4.92310E+00   1.08600E+01  -1.06440E+01   3.94000E+00
   2 <-  4  1.26455E+01   -1.35310E-05   5.04880E-02  -2.35010E-01   4.84350E-01  -4.67600E-01   1.70590E-01
   3 <-  4  1.28899E+01    3.25120E-01   3.17180E-01  -1.71870E+00   3.81210E+00  -3.73950E+00   1.38420E+00
   4 <-  4  1.31192E+01    2.41360E-01   1.12600E-01  -6.73060E-01   1.55840E+00  -1.54960E+00   5.80630E-01
   5 <-  4  1.33334E+01    2.66150E-02   7.52370E-03  -4.18330E-02   9.89110E-02  -1.04400E-01   4.14840E-02
   6 <-  4  1.35329E+01    1.29330E-01   3.25330E-04  -2.46170E-02   5.81670E-02  -3.68620E-02   6.01430E-03
   7 <-  4  1.37177E+01    1.95200E-01   3.46100E-02  -2.25610E-01   5.09450E-01  -4.68270E-01   1.61120E-01
   8 <-  4  1.38877E+01    1.89700E-01   7.01300E-02  -3.89740E-01   8.55790E-01  -8.12220E-01   2.90070E-01
   9 <-  4  1.40428E+01    1.49730E-01   7.99150E-02  -4.11660E-01   8.87880E-01  -8.54440E-01   3.10000E-01
  10 <-  4  1.41825E+01    1.02870E-01   6.49880E-02  -3.21190E-01   6.84570E-01  -6.62810E-01   2.42010E-01
  11 <-  4  1.43066E+01    6.20340E-02   4.17670E-02  -2.01700E-01   4.27550E-01  -4.16520E-01   1.53040E-01
  12 <-  4  1.44142E+01    3.10750E-02   2.20960E-02  -1.05460E-01   2.23540E-01  -2.19550E-01   8.13180E-02
  13 <-  4  1.45047E+01    8.11660E-03   9.65900E-03  -4.59150E-02   9.76080E-02  -9.66060E-02   3.60220E-02
  14 <-  4  1.45770E+01    2.44720E-08   3.11930E-03  -1.50710E-02   3.22040E-02  -3.18740E-02   1.18480E-02
  15 <-  4  1.46303E+01    7.51090E-07   7.61230E-04  -3.81210E-03   8.24870E-03  -8.17690E-03   3.02800E-03
  16 <-  4  1.46635E+01    1.30870E-07   1.37640E-04  -7.30350E-04   1.61660E-03  -1.61420E-03   5.97850E-04
  17 <-  4  1.46767E+01   -8.09850E-09   1.75750E-05  -9.78690E-05   2.21020E-04  -2.22650E-04   8.27830E-05
  18 <-  4  1.46796E+01   -6.59650E-08   2.95110E-06  -1.66820E-05   3.79160E-05  -3.83200E-05   1.42740E-05
  DE <-  4  1.46798E+01    3.85650E-01   3.67320E-01  -2.02510E+00   4.31400E+00  -4.05770E+00   1.39210E+00
