# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(B1Su) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  4  9.29159E+00    1.86280E+00   1.38100E+00  -1.07310E+01   3.10930E+01  -3.11790E+01   1.15970E+01
   1 <-  4  9.45548E+00    5.47650E-01   3.07740E-02  -4.87130E-01   1.72990E+00  -1.94000E+00   8.46610E-01
   2 <-  4  9.61473E+00    5.93750E-01   3.70380E-01  -2.20090E+00   5.54890E+00  -5.43140E+00   1.96100E+00
   3 <-  4  9.76963E+00    9.51610E-01   8.60630E-01  -5.25330E+00   1.36660E+01  -1.42680E+01   5.67680E+00
   4 <-  4  9.92032E+00    7.17760E-01   5.59130E-01  -3.36370E+00   8.76550E+00  -9.55330E+00   4.02670E+00
   5 <-  4  1.00669E+01    2.47960E-01   1.09190E-01  -6.26590E-01   1.61420E+00  -1.87580E+00   8.51730E-01
   6 <-  4  1.02094E+01    1.85470E-01   4.97250E-03  -5.46520E-02   1.68920E-01  -1.11990E-01   7.42100E-03
   7 <-  4  1.03479E+01    4.68970E-01   1.69900E-01  -1.07960E+00   2.88910E+00  -3.05210E+00   1.23280E+00
   8 <-  4  1.04825E+01    5.83660E-01   3.06490E-01  -1.89920E+00   4.97240E+00  -5.32850E+00   2.21390E+00
   9 <-  4  1.06133E+01    5.54360E-01   3.26530E-01  -1.97650E+00   5.08950E+00  -5.51180E+00   2.32880E+00
  10 <-  4  1.07402E+01    4.33810E-01   2.46290E-01  -1.45300E+00   3.67170E+00  -3.99840E+00   1.70400E+00
  11 <-  4  1.08634E+01    2.70980E-01   1.32470E-01  -7.56740E-01   1.86540E+00  -2.03360E+00   8.68650E-01
  12 <-  4  1.09829E+01    1.02270E-01   4.06650E-02  -2.21610E-01   5.25210E-01  -5.70260E-01   2.42310E-01
  13 <-  4  1.10988E+01    3.63140E-02  -3.19430E-03   1.49090E-02  -2.76840E-02   2.60260E-02  -1.00650E-02
  14 <-  4  1.12111E+01    1.59330E-01  -9.72660E-04  -1.79890E-02   9.75070E-02  -1.22380E-01   5.78740E-02
