# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(b3Su) (dissociative excitation)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 2.23682E-01 eV
#
# Energy (eV)   CS (a_0^2)
  2.23682E-01   0.00000E+00
  5.00000E-01   1.05937E+01
  1.00000E+00   2.42126E+01
  1.50000E+00   1.95951E+01
  2.00000E+00   1.31931E+01
  2.50000E+00   1.09599E+01
  3.00000E+00   9.93672E+00
  3.50000E+00   9.11671E+00
  4.00000E+00   8.59739E+00
  4.50000E+00   8.13079E+00
  5.00000E+00   7.74651E+00
  5.50000E+00   7.39404E+00
  6.00000E+00   7.06570E+00
  6.50000E+00   6.73978E+00
  7.00000E+00   6.40779E+00
  7.50000E+00   6.04288E+00
  8.00000E+00   5.67838E+00
  8.50000E+00   5.35201E+00
  9.00000E+00   5.02379E+00
  9.50000E+00   4.64900E+00
  1.00000E+01   4.27961E+00
  1.05000E+01   3.95538E+00
  1.10000E+01   3.66825E+00
  1.15000E+01   3.42881E+00
  1.20000E+01   3.22083E+00
  1.25000E+01   3.03104E+00
  1.30000E+01   2.86110E+00
  1.35000E+01   2.71015E+00
  1.40000E+01   2.57250E+00
  1.45000E+01   2.44169E+00
  1.50000E+01   2.31916E+00
  1.55000E+01   2.20080E+00
  1.60000E+01   2.08540E+00
  1.65000E+01   1.97568E+00
  1.70000E+01   1.87437E+00
  1.75000E+01   1.77974E+00
  1.80000E+01   1.68900E+00
  1.85000E+01   1.60325E+00
  1.90000E+01   1.52361E+00
  1.95000E+01   1.45118E+00
  2.00000E+01   1.38707E+00
  2.10000E+01   1.27391E+00
  2.20000E+01   1.17203E+00
  2.30000E+01   1.08030E+00
  2.40000E+01   9.97601E-01
  2.50000E+01   9.22802E-01
  2.60000E+01   8.54784E-01
  2.70000E+01   7.92424E-01
  2.80000E+01   7.34596E-01
  2.90000E+01   6.80178E-01
  3.00000E+01   6.28047E-01
  3.50000E+01   4.51958E-01
  4.00000E+01   3.59813E-01
  4.50000E+01   2.88788E-01
  5.00000E+01   2.44760E-01
  6.00000E+01   1.84873E-01
  7.00000E+01   1.28323E-01
  8.00000E+01   8.97368E-02
  9.00000E+01   6.34769E-02
  1.00000E+02   4.60972E-02
  1.25000E+02   2.40520E-02
  1.50000E+02   1.26197E-02
