# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=12) -> e + H2(d3Pu) (dissociative excitation)
# Initial-state energy: -1.00823 Hartrees
#
# Threshold: 1.23179E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.23179E+01   0.00000E+00
  1.25000E+01   3.85094E-05
  1.30000E+01   1.33669E-03
  1.35000E+01   2.85405E-03
  1.40000E+01   4.88236E-03
  1.45000E+01   6.71309E-03
  1.50000E+01   8.99402E-03
  1.55000E+01   1.03886E-02
  1.60000E+01   1.30312E-02
  1.65000E+01   1.28162E-02
  1.70000E+01   1.30923E-02
  1.75000E+01   1.30871E-02
  1.80000E+01   1.36429E-02
  1.85000E+01   1.39106E-02
  1.90000E+01   1.38635E-02
  1.95000E+01   1.36651E-02
  2.00000E+01   1.33782E-02
  2.10000E+01   1.26603E-02
  2.20000E+01   1.18451E-02
  2.30000E+01   1.10369E-02
  2.40000E+01   1.02504E-02
  2.50000E+01   9.49874E-03
  2.60000E+01   8.79954E-03
  2.70000E+01   8.15307E-03
  2.80000E+01   7.55841E-03
  2.90000E+01   7.01311E-03
  3.00000E+01   6.51388E-03
  3.50000E+01   4.58824E-03
  4.00000E+01   3.32435E-03
  4.50000E+01   2.48214E-03
  5.00000E+01   1.90143E-03
  6.00000E+01   1.18766E-03
  7.00000E+01   7.91808E-04
  8.00000E+01   5.54790E-04
  9.00000E+01   4.04176E-04
  1.00000E+02   3.03830E-04
  1.25000E+02   1.65102E-04
  1.50000E+02   9.98320E-05
