# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=5) -> e + H2(H1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
   0 <-  5  1.17180E+01    4.68810E-02  -4.11260E-03   3.20260E-02  -8.64180E-02   1.14320E-01  -5.62180E-02
   1 <-  5  1.19930E+01    1.88210E-01  -6.14700E-02   5.08470E-01  -1.39380E+00   1.87100E+00  -9.28140E-01
   2 <-  5  1.22422E+01    2.48670E-01  -1.51960E-01   1.05630E+00  -2.91900E+00   3.84930E+00  -1.84440E+00
   3 <-  5  1.24591E+01    6.79640E-02   8.35130E-03  -1.59140E-02   5.21840E-02  -3.96410E-02  -3.15160E-03
   4 <-  5  1.26590E+01    4.78740E-02  -2.95960E-03   3.19750E-02  -8.71970E-02   1.16270E-01  -5.67860E-02
   5 <-  5  1.28477E+01    1.51300E-01  -5.86610E-02   3.64650E-01  -9.78270E-01   1.25480E+00  -5.83460E-01
   6 <-  5  1.29445E+01    1.15430E-13   7.27160E-26  -7.55600E-25   2.39310E-24  -3.21240E-24   1.59530E-24
   7 <-  5  1.29887E+01    9.33910E-12  -2.84120E-23  -8.67100E-22   3.53200E-21  -5.06820E-21   2.60500E-21
   8 <-  5  1.30208E+01    1.17930E-01  -2.95690E-02   1.89840E-01  -4.82290E-01   5.99470E-01  -2.73190E-01
   9 <-  5  1.30330E+01    4.40620E-11  -4.51520E-21   3.02170E-20  -7.94870E-20   9.99910E-20  -4.58200E-20
  10 <-  5  1.30755E+01    1.01670E-10  -2.53930E-20   1.68500E-19  -4.37030E-19   5.44240E-19  -2.48840E-19
  11 <-  5  1.31158E+01    6.66650E-10  -1.01590E-18   6.42340E-18  -1.62990E-17   2.01060E-17  -9.06820E-18
  12 <-  5  1.31546E+01    8.01300E-09  -1.45510E-16   9.14350E-16  -2.29370E-15   2.80280E-15  -1.25140E-15
  13 <-  5  1.31778E+01    6.89980E-02  -1.05370E-02   6.68170E-02  -1.65410E-01   1.99700E-01  -8.81260E-02
  14 <-  5  1.31920E+01    6.00290E-08  -7.83930E-15   5.00590E-14  -1.22750E-13   1.46870E-13  -6.42350E-14
  15 <-  5  1.32280E+01    8.24120E-08  -1.41950E-14   9.24990E-14  -2.21030E-13   2.57510E-13  -1.09460E-13
