# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(c3Pu) (dissociative excitation)
# Initial-state energy: -1.03181 Hartrees
#
# Threshold: 1.10699E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.10699E+01   0.00000E+00
  1.15000E+01   7.45053E-04
  1.20000E+01   6.05323E-03
  1.25000E+01   1.54019E-02
  1.30000E+01   2.56261E-02
  1.35000E+01   3.43296E-02
  1.40000E+01   4.94182E-02
  1.45000E+01   6.69037E-02
  1.50000E+01   6.65196E-02
  1.55000E+01   7.08860E-02
  1.60000E+01   7.60464E-02
  1.65000E+01   7.84638E-02
  1.70000E+01   7.91112E-02
  1.75000E+01   7.87322E-02
  1.80000E+01   7.76333E-02
  1.85000E+01   7.60206E-02
  1.90000E+01   7.41074E-02
  1.95000E+01   7.20025E-02
  2.00000E+01   6.97766E-02
  2.10000E+01   6.51736E-02
  2.20000E+01   6.05859E-02
  2.30000E+01   5.61758E-02
  2.40000E+01   5.20261E-02
  2.50000E+01   4.81705E-02
  2.60000E+01   4.46140E-02
  2.70000E+01   4.13454E-02
  2.80000E+01   3.83501E-02
  2.90000E+01   3.56093E-02
  3.00000E+01   3.31032E-02
  3.50000E+01   2.34269E-02
  4.00000E+01   1.71127E-02
  4.50000E+01   1.28614E-02
  5.00000E+01   9.90699E-03
  6.00000E+01   6.24591E-03
  7.00000E+01   4.19525E-03
  8.00000E+01   2.95813E-03
  9.00000E+01   2.16528E-03
  1.00000E+02   1.63434E-03
  1.25000E+02   8.95687E-04
  1.50000E+02   5.45248E-04
