# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=9) -> e + H2(j3Dg) (dissociative excitation)
# Initial-state energy: -1.03181 Hartrees
#
# Threshold: 1.29595E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.29595E+01   0.00000E+00
  1.30000E+01   4.21687E-06
  1.35000E+01   1.56193E-04
  1.40000E+01   5.23725E-04
  1.45000E+01   9.78519E-04
  1.50000E+01   1.47758E-03
  1.55000E+01   2.02766E-03
  1.60000E+01   2.33148E-03
  1.65000E+01   2.95072E-03
  1.70000E+01   3.18290E-03
  1.75000E+01   3.27418E-03
  1.80000E+01   3.32794E-03
  1.85000E+01   3.59111E-03
  1.90000E+01   3.53994E-03
  1.95000E+01   3.45317E-03
  2.00000E+01   3.34164E-03
  2.10000E+01   3.10361E-03
  2.20000E+01   2.86141E-03
  2.30000E+01   2.62909E-03
  2.40000E+01   2.41332E-03
  2.50000E+01   2.21737E-03
  2.60000E+01   2.03664E-03
  2.70000E+01   1.87173E-03
  2.80000E+01   1.72222E-03
  2.90000E+01   1.58689E-03
  3.00000E+01   1.46439E-03
  3.50000E+01   1.00438E-03
  4.00000E+01   7.20900E-04
  4.50000E+01   5.33969E-04
  5.00000E+01   4.06400E-04
  6.00000E+01   2.51383E-04
  7.00000E+01   1.66427E-04
  8.00000E+01   1.15996E-04
  9.00000E+01   8.41580E-05
  1.00000E+02   6.30538E-05
  1.25000E+02   3.40569E-05
  1.50000E+02   2.05100E-05
