2.7300000E-03	4.0200000E-03
2.8300000E-03	4.3300000E-03
2.8900000E-03	4.7300000E-03
3.0200000E-03	4.4600000E-03
3.1000000E-03	4.0500000E-03
3.1300000E-03	3.5900000E-03
3.2700000E-03	3.3100000E-03
3.4400000E-03	3.1600000E-03
3.6300000E-03	2.9800000E-03
3.8900000E-03	2.8900000E-03
4.2700000E-03	2.9600000E-03
4.5500000E-03	3.0500000E-03
4.8200000E-03	3.2600000E-03
5.0600000E-03	3.4100000E-03
5.5000000E-03	3.2100000E-03
6.0200000E-03	3.0200000E-03
6.5100000E-03	2.8300000E-03
7.0800000E-03	2.7900000E-03
7.7400000E-03	2.7400000E-03
8.3400000E-03	2.6400000E-03
8.8800000E-03	2.5900000E-03
9.4600000E-03	2.5100000E-03
1.0130000E-02	2.4900000E-03
1.0960000E-02	2.4200000E-03
1.1990000E-02	2.4200000E-03
1.2430000E-02	2.4200000E-03
1.3390000E-02	2.4400000E-03
1.4180000E-02	2.2900000E-03
1.5760000E-02	2.2400000E-03
1.7690000E-02	2.1900000E-03
1.8750000E-02	2.1600000E-03
2.0070000E-02	2.1600000E-03
2.2070000E-02	2.1100000E-03
2.4390000E-02	2.0700000E-03
2.7670000E-02	2.0200000E-03
2.9470000E-02	1.9900000E-03
3.2060000E-02	1.9300000E-03
3.5250000E-02	1.9200000E-03
3.8350000E-02	1.8800000E-03
4.2380000E-02	1.8500000E-03
4.5860000E-02	1.9000000E-03
5.0150000E-02	1.9000000E-03
5.4850000E-02	1.9000000E-03
6.0290000E-02	1.9600000E-03
6.5590000E-02	1.9900000E-03
6.9130000E-02	2.0100000E-03
7.4420000E-02	2.0200000E-03
8.0960000E-02	2.1000000E-03
8.9000000E-02	2.1900000E-03
9.5810000E-02	2.2800000E-03
1.0205000E-01	2.3600000E-03
1.1338000E-01	2.4400000E-03
1.2014000E-01	2.5300000E-03
1.3207000E-01	2.6200000E-03
1.4068000E-01	2.7400000E-03
1.4985000E-01	2.7900000E-03
1.5878000E-01	2.7900000E-03
1.7182000E-01	2.8900000E-03
1.8496000E-01	2.9400000E-03
1.9806000E-01	2.9600000E-03
2.1097000E-01	2.9800000E-03
