# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(b3Su) (dissociative excitation)
# Initial-state energy: -1.05384 Hartrees
#
# Threshold: 1.46426E+00 eV
#
# Energy (eV)   CS (a_0^2)
  1.46426E+00   0.00000E+00
  1.50000E+00   2.37454E-03
  2.00000E+00   4.06516E-02
  2.50000E+00   7.32200E-01
  3.00000E+00   2.20929E+00
  3.50000E+00   3.15374E+00
  4.00000E+00   3.52236E+00
  4.50000E+00   3.83224E+00
  5.00000E+00   3.89161E+00
  5.50000E+00   3.91039E+00
  6.00000E+00   3.91309E+00
  6.50000E+00   3.88593E+00
  7.00000E+00   3.82577E+00
  7.50000E+00   3.74547E+00
  8.00000E+00   3.64901E+00
  8.50000E+00   3.54932E+00
  9.00000E+00   3.43240E+00
  9.50000E+00   3.28214E+00
  1.00000E+01   3.11785E+00
  1.05000E+01   2.95660E+00
  1.10000E+01   2.78900E+00
  1.15000E+01   2.60181E+00
  1.20000E+01   2.42363E+00
  1.25000E+01   2.28394E+00
  1.30000E+01   2.16693E+00
  1.35000E+01   2.07408E+00
  1.40000E+01   1.98305E+00
  1.45000E+01   1.86158E+00
  1.50000E+01   1.74094E+00
  1.55000E+01   1.64062E+00
  1.60000E+01   1.54873E+00
  1.65000E+01   1.46428E+00
  1.70000E+01   1.38633E+00
  1.75000E+01   1.31316E+00
  1.80000E+01   1.24406E+00
  1.85000E+01   1.17949E+00
  1.90000E+01   1.11994E+00
  1.95000E+01   1.06589E+00
  2.00000E+01   1.01783E+00
  2.10000E+01   9.32679E-01
  2.20000E+01   8.56266E-01
  2.30000E+01   7.87675E-01
  2.40000E+01   7.25991E-01
  2.50000E+01   6.70298E-01
  2.60000E+01   6.19682E-01
  2.70000E+01   5.73227E-01
  2.80000E+01   5.30018E-01
  2.90000E+01   4.89140E-01
  3.00000E+01   4.49677E-01
  3.50000E+01   3.11318E-01
  4.00000E+01   2.36625E-01
  4.50000E+01   1.84078E-01
  5.00000E+01   1.54665E-01
  6.00000E+01   1.18973E-01
  7.00000E+01   8.50436E-02
  8.00000E+01   6.30100E-02
  9.00000E+01   4.57940E-02
  1.00000E+02   3.29653E-02
  1.25000E+02   1.59147E-02
  1.50000E+02   8.54645E-03
