# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=7) -> e + H2(i3Pg) (dissociative excitation)
# Initial-state energy: -1.05384 Hartrees
#
# Threshold: 1.16693E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.16693E+01   0.00000E+00
  1.20000E+01   4.75410E-05
  1.25000E+01   1.00085E-03
  1.30000E+01   3.36303E-03
  1.35000E+01   5.58152E-03
  1.40000E+01   8.35313E-03
  1.45000E+01   1.11291E-02
  1.50000E+01   1.10461E-02
  1.55000E+01   1.16094E-02
  1.60000E+01   1.24705E-02
  1.65000E+01   1.30610E-02
  1.70000E+01   1.26665E-02
  1.75000E+01   1.27109E-02
  1.80000E+01   1.29239E-02
  1.85000E+01   1.28116E-02
  1.90000E+01   1.25436E-02
  1.95000E+01   1.21857E-02
  2.00000E+01   1.17814E-02
  2.10000E+01   1.09065E-02
  2.20000E+01   1.00266E-02
  2.30000E+01   9.19277E-03
  2.40000E+01   8.43130E-03
  2.50000E+01   7.72951E-03
  2.60000E+01   7.08934E-03
  2.70000E+01   6.50869E-03
  2.80000E+01   5.98350E-03
  2.90000E+01   5.50904E-03
  3.00000E+01   5.08044E-03
  3.50000E+01   3.47513E-03
  4.00000E+01   2.47236E-03
  4.50000E+01   1.81842E-03
  5.00000E+01   1.37430E-03
  6.00000E+01   8.46483E-04
  7.00000E+01   5.63275E-04
  8.00000E+01   3.93606E-04
  9.00000E+01   2.86023E-04
  1.00000E+02   2.14536E-04
  1.25000E+02   1.16088E-04
  1.50000E+02   6.99967E-05
