# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=10) -> e + H2(d3Pu) (dissociative excitation)
# Initial-state energy: -1.02258 Hartrees
#
# Threshold: 1.27084E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.27084E+01   0.00000E+00
  1.30000E+01   9.04801E-04
  1.35000E+01   3.04549E-03
  1.40000E+01   6.16728E-03
  1.45000E+01   8.46844E-03
  1.50000E+01   1.09917E-02
  1.55000E+01   1.32319E-02
  1.60000E+01   1.56982E-02
  1.65000E+01   1.72386E-02
  1.70000E+01   1.77239E-02
  1.75000E+01   1.79788E-02
  1.80000E+01   1.90902E-02
  1.85000E+01   1.95715E-02
  1.90000E+01   1.95764E-02
  1.95000E+01   1.93565E-02
  2.00000E+01   1.89973E-02
  2.10000E+01   1.80470E-02
  2.20000E+01   1.69210E-02
  2.30000E+01   1.58021E-02
  2.40000E+01   1.47110E-02
  2.50000E+01   1.36559E-02
  2.60000E+01   1.26691E-02
  2.70000E+01   1.17525E-02
  2.80000E+01   1.09063E-02
  2.90000E+01   1.01281E-02
  3.00000E+01   9.41403E-03
  3.50000E+01   6.64573E-03
  4.00000E+01   4.82720E-03
  4.50000E+01   3.61013E-03
  5.00000E+01   2.76875E-03
  6.00000E+01   1.73220E-03
  7.00000E+01   1.15606E-03
  8.00000E+01   8.10652E-04
  9.00000E+01   5.90951E-04
  1.00000E+02   4.44463E-04
  1.25000E+02   2.41755E-04
  1.50000E+02   1.46279E-04
