# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=4) -> e + H2(b3Su) (dissociative excitation)
# Initial-state energy: -1.09503 Hartrees
#
# Threshold: 2.58528E+00 eV
#
# Energy (eV)   CS (a_0^2)
  2.58528E+00   0.00000E+00
  3.00000E+00   1.93585E-06
  3.50000E+00   7.22875E-03
  4.00000E+00   5.75557E-02
  4.50000E+00   3.74653E-01
  5.00000E+00   1.13291E+00
  5.50000E+00   1.63032E+00
  6.00000E+00   1.94035E+00
  6.50000E+00   2.25540E+00
  7.00000E+00   2.39450E+00
  7.50000E+00   2.53913E+00
  8.00000E+00   2.56697E+00
  8.50000E+00   2.57179E+00
  9.00000E+00   2.57248E+00
  9.50000E+00   2.54139E+00
  1.00000E+01   2.48393E+00
  1.05000E+01   2.43239E+00
  1.10000E+01   2.36151E+00
  1.15000E+01   2.24120E+00
  1.20000E+01   2.11823E+00
  1.25000E+01   2.04256E+00
  1.30000E+01   1.97455E+00
  1.35000E+01   1.88817E+00
  1.40000E+01   1.79248E+00
  1.45000E+01   1.68235E+00
  1.50000E+01   1.57435E+00
  1.55000E+01   1.48201E+00
  1.60000E+01   1.39639E+00
  1.65000E+01   1.31723E+00
  1.70000E+01   1.24426E+00
  1.75000E+01   1.17590E+00
  1.80000E+01   1.11115E+00
  1.85000E+01   1.05058E+00
  1.90000E+01   9.94771E-01
  1.95000E+01   9.44306E-01
  2.00000E+01   8.99762E-01
  2.10000E+01   8.21663E-01
  2.20000E+01   7.52272E-01
  2.30000E+01   6.90606E-01
  2.40000E+01   6.35678E-01
  2.50000E+01   5.86503E-01
  2.60000E+01   5.42096E-01
  2.70000E+01   5.01471E-01
  2.80000E+01   4.63644E-01
  2.90000E+01   4.27628E-01
  3.00000E+01   3.92439E-01
  3.50000E+01   2.66708E-01
  4.00000E+01   1.97675E-01
  4.50000E+01   1.49361E-01
  5.00000E+01   1.22006E-01
  6.00000E+01   9.02056E-02
  7.00000E+01   6.53360E-02
  8.00000E+01   5.16257E-02
  9.00000E+01   3.86672E-02
  1.00000E+02   2.82309E-02
  1.25000E+02   1.34418E-02
  1.50000E+02   7.23138E-03
