x_cm,n_nuclei_cm3
0,1.00000000004e+14
0.001,9.99291825193e+13
0.00207652602771,9.98527968544e+13
0.00323543431605,9.97706567569e+13
0.00448302925218,9.9682345314e+13
0.00582609767296,9.9587410971e+13
0.00727194578492,9.94853691291e+13
0.00882843890957,9.9375700978e+13
0.0105040442702,9.92578517075e+13
0.0123078770531,9.91312284693e+13
0.0142497499935,9.89951982037e+13
0.0163402267564,9.88490853806e+13
0.018590679402,9.86921696786e+13
0.021013350249,9.85236836233e+13
0.0236214184725,9.8342810203e+13
0.0264290717971,9.81486804845e+13
0.0294515836778,9.79403712548e+13
0.0327053963864,9.77169027201e+13
0.0362082104566,9.74772362994e+13
0.0399790809734,9.72202725566e+13
0.0440385212318,9.69448493212e+13
0.0484086143279,9.66497400605e+13
0.0531131332894,9.63336525704e+13
0.0581776703993,9.59952280673e+13
0.0636297764164,9.56330407731e+13
0.0694991104497,9.52455981011e+13
0.0758176013018,9.48313415619e+13
0.08261962116,9.43886485299e+13
0.0899421725784,9.39158350225e+13
0.0978250897694,9.34111596665e+13
0.1063112553,9.28728290447e+13
0.115446833369,9.22990046318e+13
0.125281520939,9.1687814362e+13
0.135868818081,9.10373555663e+13
0.147266319019,9.03457153296e+13
0.159536025429,8.96109843e+13
0.172744683732,8.88312751624e+13
0.186964148186,8.80047444373e+13
0.202271771771,8.71296177192e+13
0.218750826983,8.62042185991e+13
0.23649095883,8.52270014873e+13
0.255588672499,8.4196588498e+13
0.276147858333,8.31118104837e+13
0.298280356992,8.19717522058e+13
0.322106567857,8.07758014999e+13
0.347756103995,7.95237284577e+13
0.375368497245,7.82157035841e+13
0.405093957267,7.68523259402e+13
0.437094188667,7.543474883e+13
0.471543270661,7.396471262e+13
0.508628604058,7.24446214567e+13
0.548551930707,7.0877576269e+13
0.591530430957,6.92674143367e+13
0.637797905108,6.76187735031e+13
0.687606045268,6.59371081463e+13
0.741225804542,6.42286995843e+13
0.798948871,6.25006469544e+13
0.861089254442,6.07608467617e+13
0.927984994589,5.90179171705e+13
1,5.72810879947e+13
