0.51	0.0
0.52	0.0034702
0.53	0.0068557
0.54	0.0090376
0.55	0.010776
0.56	0.012263
0.57	0.013584
0.58	0.014783
0.59	0.01589
0.6	0.016924
0.61	0.017899
0.62	0.018825
0.63	0.01971
0.64	0.020559
0.65	0.021378
0.66	0.022171
0.67	0.022941
0.68	0.023691
0.69	0.024423
0.7	0.02514
0.71	0.02579093333333333
0.72	0.026441866666666664
0.73	0.0270928
0.74	0.027743733333333333
0.75	0.028394666666666665
0.76	0.029045599999999998
0.77	0.029696533333333334
0.78	0.030347466666666663
0.79	0.030998399999999995
0.8	0.03164933333333333
0.81	0.03230026666666666
0.82	0.0329512
0.83	0.03360213333333333
0.84	0.034253066666666665
0.85	0.034904
0.86	0.035526
0.87	0.036147
0.88	0.036768
0.89	0.037389
0.9	0.038011
0.91	0.038634
0.92	0.039257
0.93	0.039882
0.94	0.040509
0.95	0.041137
0.96	0.041768
0.97	0.042401
0.98	0.043036
0.99	0.043675
1.0	0.044316
1.01	0.04496
1.02	0.045608
1.03	0.046259
1.04	0.046914
1.05	0.047573
1.06	0.048235
1.07	0.048902
1.08	0.049573
1.09	0.050249
1.1	0.050929
1.11	0.051613
1.12	0.052303
1.13	0.052997
1.14	0.053696
1.15	0.0544
1.16	0.05511
1.17	0.055825
1.18	0.056545
1.19	0.057271
1.2	0.058002
1.21	0.058739
1.22	0.059482
1.23	0.06023
1.24	0.060985
1.25	0.061745
1.26	0.062512
1.27	0.063284
1.28	0.064063
1.29	0.064849
1.3	0.06564
1.31	0.066438
1.32	0.067242
1.33	0.068053
1.34	0.068871
1.35	0.069695
1.36	0.070526
1.37	0.071363
1.38	0.072207
1.39	0.073058
1.4	0.073916
1.41	0.074781
1.42	0.075652
1.43	0.076531
1.44	0.077416
1.45	0.078309
1.46	0.079208
1.47	0.080114
1.48	0.081028
1.49	0.081948
1.5	0.082876
1.51	0.083811
1.52	0.084752
1.53	0.085701
1.54	0.086657
1.55	0.08762
1.56	0.08859
1.57	0.089568
1.58	0.090552
1.59	0.091544
1.6	0.092542
1.61	0.093548
1.62	0.09456
1.63	0.09558
1.64	0.096606
1.65	0.09764
1.66	0.098681
1.67	0.099728
1.68	0.10078
1.69	0.10184
1.7	0.10291
1.71	0.10399
1.72	0.10507
1.73	0.10616
1.74	0.10725
1.75	0.10835
1.76	0.10946
1.77	0.11057
1.78	0.11169
1.79	0.11282
1.8	0.11395
1.81	0.11509
1.82	0.11624
1.83	0.11739
1.84	0.11855
1.85	0.11971
1.86	0.12088
1.87	0.12205
1.88	0.12323
1.89	0.12442
1.9	0.12561
1.91	0.12681
1.92	0.12801
1.93	0.12922
1.94	0.13043
1.95	0.13164
1.96	0.13287
1.97	0.13409
1.98	0.13532
1.99	0.13656
2.0	0.1378
2.01	0.13904
2.02	0.14029
2.03	0.14154
2.04	0.14279
2.05	0.14405
2.06	0.14531
2.07	0.14658
2.08	0.14785
2.09	0.14912
2.1	0.1504
2.11	0.15167
2.12	0.15295
2.13	0.15424
2.14	0.15552
2.15	0.15681
2.16	0.1581
2.17	0.15939
2.18	0.16068
2.19	0.16198
2.2	0.16327
2.21	0.16457
2.22	0.16587
2.23	0.16717
2.24	0.16847
2.25	0.16977
2.26	0.17107
2.27	0.17237
2.28	0.17367
2.29	0.17497
2.3	0.17628
2.31	0.17758
2.32	0.17888
2.33	0.18018
2.34	0.18148
2.35	0.18278
2.36	0.18407
2.37	0.18537
2.38	0.18667
2.39	0.18796
2.4	0.18925
2.41	0.19055
2.42	0.19183
2.43	0.19312
2.44	0.19441
2.45	0.19569
2.46	0.19697
2.47	0.19825
2.48	0.19953
2.49	0.2008
2.5	0.20207
2.51	0.20334
2.52	0.20461
2.53	0.20587
2.54	0.20713
2.55	0.20838
2.56	0.20964
2.57	0.21089
2.58	0.21213
2.59	0.21338
2.6	0.21462
2.61	0.21585
2.62	0.21709
2.63	0.21832
2.64	0.21954
2.65	0.22076
2.66	0.22198
2.67	0.22319
2.68	0.2244
2.69	0.22561
2.7	0.22681
2.71	0.22801
2.72	0.2292
2.73	0.23038
2.74	0.23157
2.75	0.23275
2.76	0.23392
2.77	0.23509
2.78	0.23625
2.79	0.23741
2.8	0.23856
2.81	0.23971
2.82	0.24085
2.83	0.24198
2.84	0.24311
2.85	0.24423
2.86	0.24534
2.87	0.24645
2.88	0.24755
2.89	0.24864
2.9	0.24972
2.91	0.2508
2.92	0.25187
2.93	0.25293
2.94	0.25398
2.95	0.25502
2.96	0.25605
2.97	0.25708
2.98	0.25809
2.99	0.2591
3.0	0.26011
3.01	0.2611
3.02	0.26209
3.03	0.26308
3.04	0.26406
3.05	0.26504
3.06	0.26602
3.07	0.26699
3.08	0.26796
3.09	0.26893
3.1	0.26989
3.11	0.27084
3.12	0.27179
3.13	0.27273
3.14	0.27366
3.15	0.27458
3.16	0.27549
3.17	0.27638
3.18	0.27726
3.19	0.27813
3.2	0.27898
3.21	0.27982
3.22	0.28065
3.23	0.28147
3.24	0.28228
3.25	0.28308
3.26	0.28388
3.27	0.28467
3.28	0.28546
3.29	0.28625
3.3	0.28703
3.31	0.28782
3.32	0.2886
3.33	0.28938
3.34	0.29015
3.35	0.29091
3.36	0.29167
3.37	0.29242
3.38	0.29315
3.39	0.29386
3.4	0.29455
3.41	0.29523
3.42	0.2959
3.43	0.29654
3.44	0.29718
3.45	0.29781
3.46	0.29844
3.47	0.29907
3.48	0.2997
3.49	0.30034
3.5	0.30097
3.51	0.3016
3.52	0.30223
3.53	0.30285
3.54	0.30345
3.55	0.30403
3.56	0.30459
3.57	0.30513
3.58	0.30565
3.59	0.30615
3.6	0.30666
3.61	0.30717
3.62	0.30769
3.63	0.30823
3.64	0.30876
3.65	0.30929
3.66	0.30978
3.67	0.31024
3.68	0.31066
3.69	0.31107
3.7	0.31152
3.71	0.31204
3.72	0.31247
3.73	0.31286
3.74	0.31328
3.75	0.31369
3.76	0.31409
3.77	0.31449
3.78	0.31487
3.79	0.31525
3.8	0.31561
3.81	0.31597
3.82	0.31633
3.83	0.31667
3.84	0.31701
3.85	0.31734
3.86	0.31766
3.87	0.31797
3.88	0.31828
3.89	0.31857
3.9	0.31886
3.91	0.31915
3.92	0.31942
3.93	0.31969
3.94	0.31995
3.95	0.3202
3.96	0.32044
3.97	0.32068
3.98	0.32091
3.99	0.32113
4.0	0.32134
4.01	0.32155
4.02	0.32175
4.03	0.32194
4.04	0.32213
4.05	0.32231
4.06	0.32248
4.07	0.32264
4.08	0.3228
4.09	0.32295
4.1	0.32309
4.11	0.32323
4.12	0.32335
4.13	0.32348
4.14	0.32359
4.15	0.3237
4.16	0.3238
4.17	0.32389
4.18	0.32398
4.19	0.32406
4.2	0.32414
4.21	0.3242
4.22	0.32426
4.23	0.32432
4.24	0.32437
4.25	0.32441
4.26	0.32444
4.27	0.32447
4.28	0.32449
4.29	0.32451
4.3	0.32452
4.31	0.32452
4.32	0.32452
4.33	0.32451
4.34	0.3245
