eng	y_fit
0.01	1.6781
0.02	1.2453
0.03	1.0669
0.04	0.97003
0.05	0.91211
0.06	0.87699
0.07	0.85726
0.08	0.84845
0.09	0.84688
0.1	0.85034
0.11	0.85671
0.12	0.86238
0.13	0.86615
0.14	0.86864
0.15	0.86743
0.16	0.86087
0.17	0.85159
0.18	0.84096
0.19	0.82724
0.2	0.8107
0.21	0.79396
0.22	0.77774
0.23	0.76083
0.24	0.7433
0.25	0.72662
0.26	0.71143
0.27	0.69712
0.28	0.68321
0.29	0.67014
0.3	0.65835
0.31	0.64772
0.32	0.63783
0.33	0.62854
0.34	0.62004
0.35	0.61246
0.36	0.60566
0.37	0.59943
0.38	0.59369
0.39	0.58848
0.4	0.58382
0.41	0.57964
0.42	0.57583
0.43	0.57233
0.44	0.56916
0.45	0.56632
0.46	0.56377
0.47	0.56145
0.48	0.55931
0.49	0.55735
0.5	0.55558
0.51	0.55399
0.52	0.55254
0.53	0.55119
0.54	0.54992
0.55	0.54875
0.56	0.54767
0.57	0.54669
0.58	0.54578
0.59	0.54492
0.6	0.54408
0.61	0.54329
0.62	0.54253
0.63	0.54181
0.64	0.54113
0.65	0.54047
0.66	0.53982
0.67	0.53917
0.68	0.53854
0.69	0.53792
0.7	0.53731
0.71	0.53671
0.72	0.53611
0.73	0.53551
0.74	0.53492
0.75	0.53432
0.76	0.53372
0.77	0.53311
0.78	0.53251
0.79	0.53191
0.8	0.53131
0.81	0.5307
0.82	0.53009
0.83	0.52946
0.84	0.52883
0.85	0.5282
0.86	0.52757
0.87	0.52693
0.88	0.52629
0.89	0.52564
0.9	0.52499
0.91	0.52432
0.92	0.52365
0.93	0.52297
0.94	0.52229
0.95	0.52161
0.96	0.52093
0.97	0.52023
0.98	0.51953
0.99	0.51881
1.0	0.51808
1.01	0.51735
1.02	0.51661
1.03	0.51587
1.04	0.51511
1.05	0.51435
1.06	0.51356
1.07	0.51276
1.08	0.51195
1.09	0.51113
1.1	0.5103
1.11	0.50946
1.12	0.5086
1.13	0.50774
1.14	0.50685
1.15	0.50595
1.16	0.50504
1.17	0.50411
1.18	0.50318
1.19	0.50223
1.2	0.50127
1.21	0.5003
1.22	0.49932
1.23	0.49832
1.24	0.49731
1.25	0.49628
1.26	0.49524
1.27	0.4942
1.28	0.49314
1.29	0.49207
1.3	0.49098
1.31	0.48989
1.32	0.48877
1.33	0.48764
1.34	0.4865
1.35	0.48535
1.36	0.48419
1.37	0.48302
1.38	0.48183
1.39	0.48063
1.4	0.47942
1.41	0.4782
1.42	0.47697
1.43	0.47572
1.44	0.47447
1.45	0.47321
1.46	0.47194
1.47	0.47067
1.48	0.46938
1.49	0.46808
1.5	0.46678
1.51	0.46546
1.52	0.46414
1.53	0.46281
