eng	y_fit
0.37	0.0
0.38	0.13585
0.39	0.25261
0.4	0.34447
0.41	0.42999
0.42	0.51456
0.43	0.60079
0.44	0.69031
0.45	0.78433
0.46	0.88382
0.47	0.98963
0.48	1.1026
0.49	1.2233
0.5	1.3526
0.51	1.4911
0.52	1.6395
0.53	1.814975
0.54	1.99045
0.55	2.165925
0.56	2.3414
0.57	2.5457
0.58	2.7617
0.59	2.9888
0.6	3.2266
0.61	3.20986
0.62	3.19312
0.63	3.17638
0.64	3.15964
0.65	3.1428999999999996
0.66	3.1261599999999996
0.67	3.10942
0.68	3.09268
0.69	3.07594
0.7	3.0591999999999997
0.71	3.04246
0.72	3.02572
0.73	3.00898
0.74	2.99224
0.75	2.9755
0.76	2.95876
0.77	2.94202
0.78	2.92528
0.79	2.9085399999999995
0.8	2.8918
0.81	2.8750599999999995
0.82	2.85832
0.83	2.84158
0.84	2.82484
0.85	2.8081
0.86	2.79136
0.87	2.7746199999999996
0.88	2.75788
0.89	2.74114
0.9	2.7244
0.91	2.7076599999999997
0.92	2.6909199999999998
0.93	2.67418
0.94	2.6574400000000002
0.95	2.6407
0.96	2.62396
0.97	2.60722
0.98	2.59048
0.99	2.57374
1.0	2.557
1.01	2.54026
1.02	2.52352
1.03	2.5067799999999996
1.04	2.4900399999999996
1.05	2.4733
1.06	2.45656
1.07	2.43982
1.08	2.4230799999999997
1.09	2.40634
1.1	2.3895999999999997
1.11	2.37286
1.12	2.3561199999999998
1.13	2.3393800000000002
1.14	2.32264
1.15	2.3059
1.16	2.28916
1.17	2.27242
1.18	2.25568
1.19	2.2389400000000004
1.2	2.2222
1.21	2.20546
1.22	2.18872
1.23	2.17198
1.24	2.15524
1.25	2.1385
1.26	2.12176
1.27	2.10502
1.28	2.08828
1.29	2.0715399999999997
1.3	2.0547999999999997
1.31	2.0380599999999998
1.32	2.0213200000000002
1.33	2.00458
1.34	1.9878399999999998
1.35	1.9710999999999999
1.36	1.9543599999999999
1.37	1.9376200000000001
1.38	1.92088
1.39	1.90414
1.4	1.8874
1.41	1.87066
1.42	1.85392
1.43	1.8371799999999998
1.44	1.8204399999999998
1.45	1.8037
1.46	1.7869599999999999
1.47	1.7702200000000001
1.48	1.75348
1.49	1.73674
1.5	1.72
1.51	1.7196500000000001
1.52	1.7193
1.53	1.7187
1.54	1.7186
1.55	1.7172
1.56	1.7168
1.57	1.7152
1.58	1.7145
1.59	1.7138
1.6	1.7124
1.61	1.7117
1.62	1.7104
1.63	1.7086
1.64	1.7074
1.65	1.7058
1.66	1.704
1.67	1.7026
1.68	1.701
1.69	1.6989
1.7	1.6971
1.71	1.6952
1.72	1.693
1.73	1.6908
1.74	1.6888
1.75	1.6867
1.76	1.6844
1.77	1.6821
1.78	1.6799
1.79	1.6775
1.8	1.6749
1.81	1.6723
1.82	1.6697
1.83	1.667
1.84	1.6643
1.85	1.6616
1.86	1.6589
1.87	1.6562
1.88	1.6534
1.89	1.6505
1.9	1.6477
1.91	1.6449
1.92	1.6419
1.93	1.6388
1.94	1.6358
1.95	1.6328
1.96	1.6297
1.97	1.6265
1.98	1.6234
1.99	1.6203
2.0	1.6172
2.01	1.6141
2.02	1.6109
2.03	1.6077
2.04	1.6045
2.05	1.6013
2.06	1.5981
2.07	1.5948
2.08	1.5915
2.09	1.5882
2.1	1.5849
2.11	1.5816
2.12	1.5783
2.13	1.575
2.14	1.5717
2.15	1.5684
2.16	1.5651
2.17	1.5618
2.18	1.5584
2.19	1.5551
2.2	1.5518
2.21	1.5485
2.22	1.5452
2.23	1.5419
2.24	1.5386
2.25	1.5353
2.26	1.532
2.27	1.5287
2.28	1.5254
2.29	1.5221
2.3	1.5188
2.31	1.5155
2.32	1.5123
2.33	1.509
2.34	1.5058
2.35	1.5026
2.36	1.4993
2.37	1.4961
2.38	1.493
2.39	1.4898
2.4	1.4866
2.41	1.4834
2.42	1.4803
2.43	1.4771
2.44	1.474
2.45	1.4709
2.46	1.4678
2.47	1.4647
2.48	1.4616
2.49	1.4585
2.5	1.4555
2.51	1.4525
2.52	1.4494
2.53	1.4464
2.54	1.4434
2.55	1.4405
2.56	1.4375
2.57	1.4346
2.58	1.4316
2.59	1.4287
2.6	1.4258
2.61	1.4229
2.62	1.4201
2.63	1.4172
2.64	1.4144
2.65	1.4115
2.66	1.4087
2.67	1.4059
2.68	1.4032
2.69	1.4004
2.7	1.3976
2.71	1.3949
2.72	1.3922
2.73	1.3895
2.74	1.3868
2.75	1.3841
2.76	1.3815
2.77	1.3788
2.78	1.3762
2.79	1.3736
2.8	1.371
2.81	1.3684
2.82	1.3658
2.83	1.3633
2.84	1.3607
2.85	1.3582
2.86	1.3557
2.87	1.3532
2.88	1.3507
2.89	1.3482
2.9	1.3458
2.91	1.3433
2.92	1.3409
2.93	1.3385
2.94	1.336
2.95	1.3336
2.96	1.3313
2.97	1.3289
