eng	y_fit
0.01	3.1874
0.02	2.3225
0.03	1.9513
0.04	1.7367
0.05	1.5947
0.06	1.493
0.07	1.4163
0.08	1.3563
0.09	1.3081
0.1	1.2686
0.11	1.2357
0.12	1.208
0.13	1.1843
0.14	1.164
0.15	1.1464
0.16	1.1312
0.17	1.118
0.18	1.1065
0.19	1.0964
0.2	1.0877
0.21	1.0802
0.22	1.0737
0.23	1.068
0.24	1.063
0.25	1.0586
0.26	1.0545
0.27	1.0509
0.28	1.0474
0.29	1.044
0.3	1.0408
0.31	1.0376
0.32	1.0345
0.33	1.0314
0.34	1.0286
0.35	1.0257
0.36	1.0229
0.37	1.0201
0.38	1.0176
0.39	1.0151
0.4	1.0126
0.41	1.0102
0.42	1.0079
0.43	1.0056
0.44	1.0033
0.45	1.001
0.46	0.99882
0.47	0.99667
0.48	0.99447
0.49	0.99221
0.5	0.98996
0.51	0.98776
0.52	0.98559
0.53	0.98339
0.54	0.98114
0.55	0.97888
0.56	0.97665
0.57	0.97446
0.58	0.97228
0.59	0.97009
0.6	0.96791
0.61	0.96574
0.62	0.9636
0.63	0.96148
0.64	0.95937
0.65	0.9573
0.66	0.95527
0.67	0.95326
0.68	0.95127
0.69	0.94928
0.7	0.94732
0.71	0.9454
0.72	0.94352
0.73	0.94167
0.74	0.93984
0.75	0.93801
0.76	0.93619
0.77	0.93439
0.78	0.93263
0.79	0.9309
0.8	0.92919
0.81	0.92749
0.82	0.92578
0.83	0.92407
0.84	0.92238
0.85	0.92071
0.86	0.91905
0.87	0.91741
0.88	0.91577
0.89	0.91412
0.9	0.91247
0.91	0.91082
0.92	0.90917
0.93	0.90753
0.94	0.90589
0.95	0.90425
0.96	0.9026
0.97	0.90093
0.98	0.89925
0.99	0.89756
1.0	0.89586
1.01	0.89416
1.02	0.89245
1.03	0.89073
1.04	0.88899
1.05	0.88722
1.06	0.88544
1.07	0.88364
1.08	0.88184
1.09	0.88002
1.1	0.8782
1.11	0.87637
1.12	0.87451
1.13	0.87264
1.14	0.87075
1.15	0.86885
1.16	0.86694
1.17	0.86502
1.18	0.86309
1.19	0.86115
1.2	0.85919
1.21	0.85721
1.22	0.85521
1.23	0.85319
1.24	0.85117
1.25	0.84913
1.26	0.84709
1.27	0.84503
1.28	0.84295
1.29	0.84085
1.3	0.83874
1.31	0.83661
1.32	0.83447
1.33	0.83232
1.34	0.83016
1.35	0.828
1.36	0.82582
1.37	0.82363
1.38	0.82142
1.39	0.8192
1.4	0.81698
1.41	0.81474
1.42	0.81251
1.43	0.81026
1.44	0.80801
1.45	0.80575
1.46	0.80347
1.47	0.80118
1.48	0.79888
1.49	0.79658
1.5	0.79426
1.51	0.79195
1.52	0.78962
1.53	0.78729
1.54	0.78494
1.55	0.78259
1.56	0.78022
1.57	0.77785
1.58	0.77547
1.59	0.77309
1.6	0.7707
1.61	0.76831
1.62	0.76592
1.63	0.76351
1.64	0.76111
1.65	0.75869
1.66	0.75627
1.67	0.75385
1.68	0.75143
1.69	0.74901
1.7	0.74659
1.71	0.74417
1.72	0.74174
1.73	0.73931
1.74	0.73688
1.75	0.73445
1.76	0.73201
1.77	0.72957
1.78	0.72714
1.79	0.72471
1.8	0.72227
1.81	0.71984
1.82	0.7174
1.83	0.71497
1.84	0.71253
1.85	0.71009
1.86	0.70766
1.87	0.70523
1.88	0.7028
1.89	0.70037
1.9	0.69795
1.91	0.69553
1.92	0.69312
1.93	0.6907
1.94	0.68829
1.95	0.68588
1.96	0.68348
1.97	0.68109
1.98	0.6787
1.99	0.67632
2.0	0.67394
2.01	0.67157
2.02	0.6692
2.03	0.66684
2.04	0.66448
2.05	0.66213
2.06	0.65979
2.07	0.65745
2.08	0.65513
2.09	0.65281
2.1	0.65049
2.11	0.64818
2.12	0.64588
2.13	0.64359
2.14	0.6413
2.15	0.63902
2.16	0.63675
2.17	0.63449
2.18	0.63224
2.19	0.62999
2.2	0.62776
2.21	0.62553
2.22	0.62331
2.23	0.6211
2.24	0.6189
2.25	0.61671
2.26	0.61453
2.27	0.61236
2.28	0.6102
2.29	0.60805
2.3	0.60591
2.31	0.60379
2.32	0.60167
2.33	0.59956
2.34	0.59746
2.35	0.59537
2.36	0.59329
2.37	0.59122
2.38	0.58917
2.39	0.58712
2.4	0.58509
2.41	0.58307
2.42	0.58106
