eng	y_fit
0.01	4.3583
0.02	3.2222
0.03	2.7512
0.04	2.4919
0.05	2.3314
0.06	2.2265
0.07	2.1568
0.08	2.1112
0.09	2.0832
0.1	2.0686
0.11	2.0647
0.12	2.0695
0.13	2.0819
0.14	2.1007
0.15	2.1252
0.16	2.1551
0.17	2.1897
0.18	2.2288
0.19	2.2722
0.2	2.3198
0.21	2.3713
0.22	2.4266
0.23	2.4858
0.24	2.5487
0.25	2.6153
0.26	2.6856
0.27	2.7595
0.28	2.8371
0.29	2.9183
0.3	3.0031
0.31	3.1052444444444443
0.32	3.2073888888888886
0.33	3.3095333333333334
0.34	3.411677777777778
0.35	3.513822222222222
0.36	3.6159666666666666
0.37	3.7181111111111114
0.38	3.8202555555555557
0.39	3.9224
0.4	4.0401
0.41	4.1603
0.42	4.2827
0.43	4.4069
0.44	4.385096739130434
0.45	4.3632934782608706
0.46	4.341490217391304
0.47	4.319686956521739
0.48	4.297883695652175
0.49	4.276080434782609
0.5	4.254277173913043
0.51	4.232473913043479
0.52	4.2106706521739135
0.53	4.188867391304347
0.54	4.167064130434783
0.55	4.1452608695652176
0.56	4.123457608695652
0.57	4.101654347826087
0.58	4.079851086956522
0.59	4.058047826086957
0.6	4.036244565217392
0.61	4.014441304347827
0.62	3.992638043478261
0.63	3.970834782608696
0.64	3.9490315217391307
0.65	3.9272282608695654
0.66	3.905425
0.67	3.883621739130435
0.68	3.8618184782608695
0.69	3.8400152173913047
0.7	3.8182119565217394
0.71	3.7964086956521736
0.72	3.7746054347826083
0.73	3.7528021739130435
0.74	3.7309989130434786
0.75	3.709195652173913
0.76	3.6873923913043476
0.77	3.6655891304347827
0.78	3.6437858695652174
0.79	3.6219826086956526
0.8	3.6001793478260873
0.81	3.5783760869565215
0.82	3.5565728260869567
0.83	3.534769565217392
0.84	3.5129663043478265
0.85	3.491163043478261
0.86	3.4693597826086955
0.87	3.4475565217391306
0.88	3.4257532608695653
0.89	3.40395
0.9	3.3821467391304347
0.91	3.3603434782608694
0.92	3.338540217391304
0.93	3.316736956521739
0.94	3.2949336956521735
0.95	3.273130434782609
0.96	3.251327173913044
0.97	3.2295239130434785
0.98	3.2077206521739132
0.99	3.185917391304348
1.0	3.1641141304347826
1.01	3.1423108695652173
1.02	3.120507608695652
1.03	3.0987043478260867
1.04	3.0769010869565214
1.05	3.055097826086956
1.06	3.033294565217391
1.07	3.0114913043478264
1.08	2.989688043478261
1.09	2.967884782608696
1.1	2.9460815217391305
1.11	2.924278260869565
1.12	2.902475
1.13	2.8806717391304346
1.14	2.8588684782608693
1.15	2.837065217391304
1.16	2.815261956521739
1.17	2.793458695652174
1.18	2.7716554347826086
1.19	2.7498521739130433
1.2	2.728048913043478
1.21	2.706245652173913
1.22	2.684442391304348
1.23	2.6626391304347825
1.24	2.640835869565217
1.25	2.6190326086956524
1.26	2.597229347826087
1.27	2.5754260869565218
1.28	2.5536228260869565
1.29	2.531819565217391
1.3	2.510016304347826
1.31	2.4882130434782606
1.32	2.4664097826086957
1.33	2.4446065217391304
1.34	2.422803260869565
1.35	2.401
1.36	2.3881799999999997
1.37	2.37536
1.38	2.36254
1.39	2.34972
1.4	2.3369
1.41	2.32408
1.42	2.31126
1.43	2.29844
1.44	2.2856199999999998
1.45	2.2728
1.46	2.2599799999999997
1.47	2.24716
1.48	2.23434
1.49	2.22152
1.5	2.2087
1.51	2.2001
1.52	2.1915
1.53	2.1829
1.54	2.1742999999999997
1.55	2.1657
1.56	2.1571
1.57	2.1485000000000003
1.58	2.1399
1.59	2.1313
1.6	2.1231
1.61	2.1147
1.62	2.1066
1.63	2.0987
1.64	2.0906
1.65	2.0827
1.66	2.075
1.67	2.0671
1.68	2.0593
1.69	2.0518
1.7	2.0442
1.71	2.0367
1.72	2.0293
1.73	2.022
1.74	2.0147
1.75	2.0074
1.76	2.0003
1.77	1.9931
1.78	1.986
1.79	1.979
1.8	1.9721
1.81	1.9653
1.82	1.9585
1.83	1.9518
1.84	1.9451
1.85	1.9385
1.86	1.9319
1.87	1.9254
1.88	1.9189
1.89	1.9125
1.9	1.9061
1.91	1.8998
1.92	1.8936
1.93	1.8874
1.94	1.8813
1.95	1.8752
1.96	1.8692
1.97	1.8632
1.98	1.8573
1.99	1.8513
2.0	1.8455
2.01	1.8397
2.02	1.8339
2.03	1.8282
2.04	1.8225
2.05	1.8169
2.06	1.8113
2.07	1.8058
2.08	1.8004
2.09	1.7949
2.1	1.7895
2.11	1.7842
2.12	1.7789
2.13	1.7736
2.14	1.7683
2.15	1.7631
2.16	1.758
2.17	1.7528
2.18	1.7478
2.19	1.7427
2.2	1.7377
2.21	1.7327
2.22	1.7278
2.23	1.7229
2.24	1.718
2.25	1.7132
2.26	1.7084
2.27	1.7036
2.28	1.6989
2.29	1.6942
2.3	1.6895
2.31	1.6849
2.32	1.6802
2.33	1.6757
2.34	1.6711
2.35	1.6666
2.36	1.6621
2.37	1.6577
2.38	1.6532
2.39	1.6488
2.4	1.6444
2.41	1.6401
2.42	1.6358
2.43	1.6315
2.44	1.6272
2.45	1.623
2.46	1.6188
2.47	1.6146
2.48	1.6104
2.49	1.6063
2.5	1.6022
2.51	1.5981
2.52	1.594
2.53	1.59
2.54	1.586
2.55	1.582
2.56	1.578
2.57	1.5741
2.58	1.5701
2.59	1.5662
2.6	1.5623
2.61	1.5585
2.62	1.5546
2.63	1.5508
2.64	1.547
2.65	1.5432
2.66	1.5395
2.67	1.5357
2.68	1.532
2.69	1.5283
2.7	1.5246
2.71	1.521
2.72	1.5173
2.73	1.5137
2.74	1.5101
2.75	1.5065
2.76	1.5029
2.77	1.4993
2.78	1.4958
2.79	1.4923
2.8	1.4888
2.81	1.4853
2.82	1.4818
2.83	1.4783
2.84	1.4749
2.85	1.4714
2.86	1.468
2.87	1.4646
2.88	1.4612
