[DCR_Solver] Boundary iter 27 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=1.11022e-16 Rn_norm=153580 constrained_val=0.9 rel_change=5.33845e-11
[DCR_Solver] Boundary iter 28 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=6.66134e-16 Rn_norm=153580 constrained_val=0.9 rel_change=4.80458e-11
[DCR_Solver] Boundary iter 29 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=6.66134e-16 Rn_norm=153580 constrained_val=0.9 rel_change=4.32413e-11
[DCR_Solver] Boundary iter 30 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=7.77156e-16 Rn_norm=153580 constrained_val=0.9 rel_change=3.89174e-11
[DCR_Solver] Boundary iter 31 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=4.44089e-16 Rn_norm=153580 constrained_val=0.9 rel_change=3.50254e-11
[DCR_Solver] Boundary iter 32 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=3.33067e-16 Rn_norm=153580 constrained_val=0.9 rel_change=3.15226e-11
[DCR_Solver] Boundary iter 33 residual=501.878 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=2.22045e-16 Rn_norm=153580 constrained_val=0.9 rel_change=2.83707e-11
[DCR_Solver] Boundary iter 34 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=4.44089e-16 Rn_norm=153580 constrained_val=0.9 rel_change=2.55334e-11
[DCR_Solver] Boundary iter 35 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=3.33067e-16 Rn_norm=153580 constrained_val=0.9 rel_change=2.29803e-11
[DCR_Solver] Boundary iter 36 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=3.33067e-16 Rn_norm=153580 constrained_val=0.9 rel_change=2.06824e-11
[DCR_Solver] Boundary iter 37 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=0 Rn_norm=153580 constrained_val=0.9 rel_change=1.8614e-11
[DCR_Solver] Boundary iter 38 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=1.44329e-15 Rn_norm=153580 constrained_val=0.9 rel_change=1.67525e-11
[DCR_Solver] Boundary iter 39 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=1.11022e-16 Rn_norm=153580 constrained_val=0.9 rel_change=1.50774e-11
[DCR_Solver] Boundary iter 40 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=0 Rn_norm=153580 constrained_val=0.9 rel_change=1.35694e-11
[DCR_Solver] Boundary iter 41 residual=501.877 residual_rel=0.00326785 ls_solver=row_replace ls_residual=501.877 ls_residual_rel=0.00397785 ls_constraint_err=3.33067e-16 Rn_norm=153580 constrained_val=0.9 rel_change=1.22125e-11
