# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=1) -> e + H2(h3Sg) (dissociative excitation)
# Initial-state energy: -1.14556 Hartrees
#
# Threshold: 1.41652E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.41652E+01   0.00000E+00
  1.45000E+01   2.86925E-04
  1.50000E+01   2.09805E-03
  1.55000E+01   1.29548E-02
  1.60000E+01   3.96914E-02
  1.65000E+01   4.61090E-02
  1.70000E+01   4.64708E-02
  1.75000E+01   4.47236E-02
  1.80000E+01   4.16456E-02
  1.85000E+01   3.93157E-02
  1.90000E+01   3.71266E-02
  1.95000E+01   3.49417E-02
  2.00000E+01   3.28409E-02
  2.10000E+01   2.89767E-02
  2.20000E+01   2.57124E-02
  2.30000E+01   2.25347E-02
  2.40000E+01   1.99813E-02
  2.50000E+01   1.77884E-02
  2.60000E+01   1.58993E-02
  2.70000E+01   1.42655E-02
  2.80000E+01   1.28462E-02
  2.90000E+01   1.16080E-02
  3.00000E+01   1.05232E-02
  3.50000E+01   6.72058E-03
  4.00000E+01   4.54610E-03
  4.50000E+01   3.21752E-03
  5.00000E+01   2.36036E-03
  6.00000E+01   1.37939E-03
  7.00000E+01   8.75110E-04
  8.00000E+01   5.89708E-04
  9.00000E+01   4.16175E-04
  1.00000E+02   3.04627E-04
  1.25000E+02   1.57209E-04
  1.50000E+02   9.15138E-05
