# Analytic fits to MCCC calculations of electron scattering on molecular hydrogen
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al. Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=8) -> e + H2(H1Sg) all bound vf + dissociative excitation (DE)
#
# Fitting function: |(x-1)/x * (a0^2*log(x)/x + a1/x + a2/x^2 + a3/x^3 + a4/x^4 + a5/x^5)|
#                   where x = energy / threshold_energy
# Yields integrated cross section in atomic units

# vf    vi  threshold (eV)   a0            a1            a2            a3            a4            a5
  43 <-  8  1.28145E+01    3.74910E-02  -3.63470E-03   2.34730E-02  -6.48580E-02   8.52620E-02  -4.03740E-02
  44 <-  8  1.28336E+01    3.81030E-02  -3.74530E-03   2.42180E-02  -6.71810E-02   8.83440E-02  -4.17880E-02
  45 <-  8  1.28524E+01    3.81440E-02  -3.71240E-03   2.41180E-02  -6.70870E-02   8.82170E-02  -4.16830E-02
  46 <-  8  1.28708E+01    3.77030E-02  -3.56080E-03   2.33160E-02  -6.50010E-02   8.54750E-02  -4.03540E-02
  47 <-  8  1.28890E+01    3.71160E-02  -3.38920E-03   2.23670E-02  -6.24860E-02   8.21660E-02  -3.87600E-02
  48 <-  8  1.29069E+01    3.63090E-02  -3.17660E-03   2.11590E-02  -5.92270E-02   7.78850E-02  -3.67190E-02
  49 <-  8  1.29244E+01    3.53530E-02  -2.94400E-03   1.98120E-02  -5.55630E-02   7.30810E-02  -3.44390E-02
  50 <-  8  1.29417E+01    3.45750E-02  -2.78980E-03   1.88490E-02  -5.29360E-02   6.95900E-02  -3.27590E-02
  51 <-  8  1.29586E+01    3.32260E-02  -2.50010E-03   1.71300E-02  -4.82010E-02   6.34020E-02  -2.98490E-02
  52 <-  8  1.29753E+01    3.00830E-02  -1.78680E-03   1.31220E-02  -3.71950E-02   4.92730E-02  -2.33510E-02
  53 <-  8  1.29916E+01    1.54040E-02   8.05700E-04  -9.44710E-04   1.18750E-03   6.45350E-04  -1.31740E-03
  54 <-  8  1.30076E+01    2.44860E-02  -7.57090E-04   7.22430E-03  -2.10490E-02   2.86080E-02  -1.38750E-02
  55 <-  8  1.30233E+01    2.39550E-02  -7.59410E-04   7.03210E-03  -2.04670E-02   2.77360E-02  -1.34130E-02
  56 <-  8  1.30387E+01    2.34050E-02  -7.61520E-04   6.83250E-03  -1.98410E-02   2.67920E-02  -1.29140E-02
  57 <-  8  1.30538E+01    2.28340E-02  -7.61880E-04   6.62120E-03  -1.91640E-02   2.57740E-02  -1.23790E-02
  58 <-  8  1.30686E+01    2.22320E-02  -7.58890E-04   6.39030E-03  -1.84190E-02   2.46630E-02  -1.18010E-02
  59 <-  8  1.30831E+01    2.16250E-02  -7.53880E-04   6.15500E-03  -1.76560E-02   2.35310E-02  -1.12150E-02
  60 <-  8  1.30973E+01    2.09930E-02  -7.44680E-04   5.90260E-03  -1.68420E-02   2.23360E-02  -1.06020E-02
  61 <-  8  1.31112E+01    2.03400E-02  -7.31070E-04   5.63440E-03  -1.59860E-02   2.10930E-02  -9.97070E-03
  62 <-  8  1.31249E+01    1.96830E-02  -7.14790E-04   5.36340E-03  -1.51260E-02   1.98550E-02  -9.34590E-03
  63 <-  8  1.31383E+01    1.90050E-02  -6.94040E-04   5.07840E-03  -1.42330E-02   1.85850E-02  -8.71130E-03
  64 <-  8  1.31514E+01    1.83150E-02  -6.69710E-04   4.78640E-03  -1.33300E-02   1.73140E-02  -8.08070E-03
  65 <-  8  1.31642E+01    1.76020E-02  -6.40470E-04   4.48010E-03  -1.23970E-02   1.60160E-02  -7.44270E-03
  66 <-  8  1.31768E+01    1.68350E-02  -6.02520E-04   4.13920E-03  -1.13770E-02   1.46180E-02  -6.76350E-03
  67 <-  8  1.31892E+01    1.62800E-02  -5.91840E-04   3.95810E-03  -1.08140E-02   1.38260E-02  -6.37150E-03
  68 <-  8  1.32012E+01    1.58730E-02  -5.97300E-04   3.87620E-03  -1.05390E-02   1.34200E-02  -6.16340E-03
  69 <-  8  1.32130E+01    1.51660E-02  -5.62520E-04   3.58720E-03  -9.69670E-03   1.22890E-02  -5.62260E-03
  70 <-  8  1.32245E+01    1.42490E-02  -5.04410E-04   3.18050E-03  -8.53850E-03   1.07610E-02  -4.90190E-03
  71 <-  8  1.32355E+01    1.30950E-02  -4.31380E-04   2.69290E-03  -7.17700E-03   8.99210E-03  -4.07660E-03
  DE <-  8  1.32439E+01   -2.68280E-03   9.86770E-02  -6.40340E-01   1.95510E+00  -2.37290E+00   9.59130E-01
