# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=0) -> e + H2(c3Pu) (dissociative excitation)
# Initial-state energy: -1.16453 Hartrees
#
# Threshold: 1.46815E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.46815E+01   0.00000E+00
  1.50000E+01   2.40050E-04
  1.55000E+01   7.08596E-04
  1.60000E+01   1.07119E-03
  1.65000E+01   1.32293E-03
  1.70000E+01   1.48999E-03
  1.75000E+01   1.59341E-03
  1.80000E+01   1.65166E-03
  1.85000E+01   1.68655E-03
  1.90000E+01   1.69784E-03
  1.95000E+01   1.69199E-03
  2.00000E+01   1.67456E-03
  2.10000E+01   1.61674E-03
  2.20000E+01   1.54016E-03
  2.30000E+01   1.45615E-03
  2.40000E+01   1.37042E-03
  2.50000E+01   1.28588E-03
  2.60000E+01   1.20433E-03
  2.70000E+01   1.12693E-03
  2.80000E+01   1.05417E-03
  2.90000E+01   9.86181E-04
  3.00000E+01   9.22891E-04
  3.50000E+01   6.69656E-04
  4.00000E+01   4.97437E-04
  4.50000E+01   3.78453E-04
  5.00000E+01   2.94286E-04
  6.00000E+01   1.87884E-04
  7.00000E+01   1.27297E-04
  8.00000E+01   9.02941E-05
  9.00000E+01   6.65149E-05
  1.00000E+02   5.04679E-05
  1.25000E+02   2.79110E-05
  1.50000E+02   1.70959E-05
