k,lower_state,lower_v,A_s_inv
39,B1Su,23,1.897183e+03
39,B1Su,30,9.644011e+02
39,C1Pu,0,9.723061e+02
39,C1Pu,1,8.300174e+04
39,C1Pu,2,1.509841e+06
39,C1Pu,3,1.264788e+05
39,C1Pu,4,2.893203e+03
39,C1Pu,6,5.841741e+03
39,C1Pu,7,7.983977e+02
39,C1Pu,8,2.695580e+03
39,C1Pu,9,3.067112e+03
39,C1Pu,10,9.485913e+03
39,Bp1Su,0,2.110616e+04
39,Bp1Su,1,3.612552e+03
39,Bp1Su,2,6.134224e+04
39,Bp1Su,3,1.478221e+04
40,B1Su,0,7.920537e+06
40,B1Su,1,8.479754e+06
40,B1Su,2,1.189606e+06
40,B1Su,3,1.067595e+05
40,B1Su,4,6.385234e+04
40,B1Su,5,5.236299e+05
40,B1Su,6,4.077196e+05
40,B1Su,7,5.459985e+03
40,B1Su,8,2.460552e+05
40,B1Su,9,4.921104e+03
40,B1Su,10,1.647146e+03
40,B1Su,11,4.392390e+04
40,B1Su,12,1.850498e+04
40,B1Su,14,2.460552e+04
40,B1Su,15,4.809261e+04
40,B1Su,16,3.355298e+04
40,B1Su,17,5.307472e+03
40,B1Su,18,1.209941e+04
40,B1Su,19,1.769157e+04
40,B1Su,20,2.206363e+04
40,B1Su,21,1.270946e+04
40,B1Su,22,2.918093e+03
40,C1Pu,0,2.836752e+03
40,C1Pu,1,1.464130e+05
40,C1Pu,2,9.364333e+06
40,C1Pu,3,2.013179e+05
40,C1Pu,4,1.260779e+04
40,C1Pu,5,4.189039e+03
40,C1Pu,7,1.687817e+03
40,C1Pu,9,3.131612e+03
40,C1Pu,10,1.362454e+03
40,Bp1Su,0,8.866122e+04
40,Bp1Su,1,3.009601e+04
40,Bp1Su,2,2.155525e+05
40,Bp1Su,3,3.639990e+04
41,B1Su,0,2.245327e+05
41,B1Su,1,3.809193e+05
41,B1Su,2,7.024291e+04
41,B1Su,3,2.577321e+04
41,B1Su,4,4.578020e+05
41,B1Su,5,2.315220e+05
41,B1Su,6,4.717807e+05
41,B1Su,7,5.661369e+05
41,B1Su,8,2.341430e+05
41,B1Su,9,3.520882e+05
41,B1Su,10,2.559847e+04
41,B1Su,12,5.757472e+03
41,B1Su,14,1.677443e+04
41,B1Su,15,5.739999e+04
41,B1Su,16,7.277654e+04
41,B1Su,17,4.088766e+03
41,B1Su,18,2.315220e+03
41,B1Su,19,1.293029e+04
41,B1Su,20,3.782982e+04
41,B1Su,21,4.167396e+04
41,B1Su,22,2.280273e+04
41,B1Su,23,5.792419e+03
41,B1Su,26,1.048402e+03
41,B1Su,31,1.170715e+03
41,C1Pu,1,9.522981e+03
41,C1Pu,2,9.173514e+05
41,C1Pu,3,4.796437e+04
41,C1Pu,4,4.062556e+04
41,C1Pu,5,8.177533e+03
41,C1Pu,6,2.315220e+03
41,C1Pu,7,2.166697e+03
41,C1Pu,8,3.057838e+03
41,C1Pu,10,4.848857e+03
41,Bp1Su,0,2.044383e+03
41,Bp1Su,1,4.927488e+03
41,Bp1Su,2,2.332694e+03
41,Bp1Su,3,1.764809e+03
42,B1Su,0,5.838265e+05
42,B1Su,1,6.176270e+05
42,B1Su,2,2.120212e+05
42,B1Su,3,1.823178e+05
42,B1Su,4,1.259836e+05
42,B1Su,5,4.793523e+05
42,B1Su,6,2.243123e+06
42,B1Su,7,1.720752e+06
42,B1Su,9,3.216167e+06
42,B1Su,10,2.038272e+05
42,B1Su,11,4.312122e+05
42,B1Su,12,1.802692e+03
42,B1Su,13,3.236652e+04
42,B1Su,14,1.280321e+05
42,B1Su,15,6.381121e+04
42,B1Su,16,1.597841e+04
42,B1Su,17,3.656598e+04
42,B1Su,18,1.270079e+03
42,B1Su,19,3.205925e+04
42,B1Su,20,1.935846e+04
42,B1Su,21,6.647428e+03
42,B1Su,27,1.147168e+03
42,B1Su,28,1.218866e+03
42,C1Pu,1,3.185439e+04
42,C1Pu,2,2.171425e+06
42,C1Pu,3,3.400533e+05
42,C1Pu,4,1.444202e+05
42,C1Pu,5,7.057131e+04
42,C1Pu,8,1.085712e+04
42,C1Pu,9,7.118586e+03
42,C1Pu,10,2.089484e+04
42,C1Pu,11,1.198381e+04
42,Bp1Su,0,2.632341e+03
42,Bp1Su,1,1.044742e+04
42,Bp1Su,2,5.377349e+03
42,Bp1Su,3,1.198381e+04
42,Bp1Su,4,3.912662e+03
43,B1Su,0,1.568382e+03
43,B1Su,1,1.568382e+04
43,B1Su,2,1.186884e+04
43,B1Su,5,8.795656e+03
43,B1Su,6,1.451813e+04
43,B1Su,7,1.504799e+03
43,B1Su,8,1.102106e+05
43,B1Su,9,1.939283e+05
43,B1Su,10,5.860238e+03
43,B1Su,11,8.064451e+04
43,B1Su,14,5.383365e+04
43,B1Su,15,6.877567e+04
43,B1Su,16,8.329380e+04
43,B1Su,17,2.553919e+04
43,B1Su,19,1.536590e+04
43,B1Su,21,4.726340e+04
43,B1Su,22,2.882432e+04
43,B1Su,23,1.070315e+04
43,B1Su,24,1.356439e+03
43,B1Su,32,1.102106e+03
43,C1Pu,2,1.282258e+03
43,C1Pu,3,1.018389e+04
43,C1Pu,4,2.140630e+03
43,C1Pu,5,2.288990e+03
43,C1Pu,6,2.575114e+03
43,C1Pu,7,3.295722e+03
43,C1Pu,11,3.592443e+03
44,B1Su,0,4.275405e+04
44,B1Su,1,1.566638e+05
44,B1Su,2,5.791507e+03
44,B1Su,3,2.880592e+04
44,B1Su,4,2.253937e+03
44,B1Su,5,9.692941e+04
44,B1Su,6,1.142130e+05
44,B1Su,7,2.708768e+05
44,B1Su,8,1.900180e+04
44,B1Su,10,2.142756e+05
44,B1Su,13,4.164225e+03
44,B1Su,15,1.819321e+03
44,B1Su,16,2.799734e+03
44,B1Su,17,1.950717e+03
44,B1Su,20,3.729609e+04
44,B1Su,21,2.941236e+03
44,B1Su,22,3.871112e+03
44,B1Su,23,3.577999e+03
44,B1Su,24,1.263418e+03
44,C1Pu,1,3.315208e+03
44,C1Pu,2,1.991146e+05
44,C1Pu,3,4.841417e+03
44,C1Pu,4,5.650004e+04
44,C1Pu,5,3.264671e+03
44,C1Pu,6,3.517355e+03
44,C1Pu,10,1.202774e+03
44,Bp1Su,1,2.476299e+03
44,Bp1Su,3,3.092847e+03
44,Bp1Su,4,1.425135e+03
