# MCCC calculations of electron scattering on molecular hydrogen and isotopologues
# Adiabatic nuclei calculations performed with the spheroidal MCCC(210) model
# Reference: Scarlett et al., Atom. Data Nucl. Data Tables (2021)
# MCCC Database: mccc-db.org
# This file: e + H2(X1Sg,vi=3) -> e + H2(e3Su) (dissociative excitation)
# Initial-state energy: -1.11083 Hartrees
#
# Threshold: 1.32202E+01 eV
#
# Energy (eV)   CS (a_0^2)
  1.32202E+01   0.00000E+00
  1.35000E+01   7.18141E-04
  1.40000E+01   2.32879E-03
  1.45000E+01   5.26302E-03
  1.50000E+01   1.12893E-02
  1.55000E+01   1.73558E-02
  1.60000E+01   1.97135E-02
  1.65000E+01   2.54670E-02
  1.70000E+01   3.05448E-02
  1.75000E+01   3.38224E-02
  1.80000E+01   3.57559E-02
  1.85000E+01   3.56159E-02
  1.90000E+01   3.51961E-02
  1.95000E+01   3.45162E-02
  2.00000E+01   3.36240E-02
  2.10000E+01   3.14931E-02
  2.20000E+01   2.95086E-02
  2.30000E+01   2.74541E-02
  2.40000E+01   2.54752E-02
  2.50000E+01   2.35841E-02
  2.60000E+01   2.18202E-02
  2.70000E+01   2.01899E-02
  2.80000E+01   1.86915E-02
  2.90000E+01   1.73188E-02
  3.00000E+01   1.60637E-02
  3.50000E+01   1.12343E-02
  4.00000E+01   8.11458E-03
  4.50000E+01   6.03718E-03
  5.00000E+01   4.60850E-03
  6.00000E+01   2.86014E-03
  7.00000E+01   1.89724E-03
  8.00000E+01   1.32369E-03
  9.00000E+01   9.60817E-04
  1.00000E+02   7.19968E-04
  1.25000E+02   3.88705E-04
  1.50000E+02   2.33882E-04
